tipo_poder_id	tipo_poder_nombre	categoria	entidad_id	entidad_nombre	cantidad
-1	Poder Ejecutivo	MUJER Y POBLACIONES VULNERABLES	13102	PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LAS MUJERES E INTEGRANTES (AURORA)	4930
5	Gobiernos locales		10072	MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA (MDPP)	4791
-1	Poder Ejecutivo	INTERIOR	132	MINISTERIO DEL INTERIOR (MININTER)	4773
2	Poder Judicial		18595	CORTE SUPERIOR DE JUSTICIA DE LIMA (CSJ LIMA)	4429
-1	Poder Ejecutivo	CULTURA	14221	UNIDAD EJECUTORA 002 MC-CUSCO (DDC-CUSCO)	4117
-1	Poder Ejecutivo	JUSTICIA	131	MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS (MINJUS)	4073
7	Gobiernos regionales		14125	PROYECTO ESPECIAL REGIONAL PASTO GRANDE (PERPG)	3981
-1	Poder Ejecutivo	ECONOMÍA Y FINANZAS	134	MINISTERIO DE ECONOMÍA Y FINANZAS (MEF)	3801
1	Poder Legislativo		16	CONGRESO DE LA REPÚBLICA (CONGRESO)	3553
-1	Poder Ejecutivo	EDUCACIÓN	133	MINISTERIO DE EDUCACIÓN (MINEDU)	3535
5	Gobiernos locales		1313	MUNICIPALIDAD PROVINCIAL DE TRUJILLO (MPTRUJILLO)	3534
5	Gobiernos locales		10050	MUNICIPALIDAD DISTRITAL DE ATE (MUNIATE)	3326
-1	Poder Ejecutivo	AGRICULTURA	136	MINISTERIO DE DESARROLLO AGRARIO Y RIEGO (MIDAGRI)	3311
7	Gobiernos regionales		14326	UNIDAD DE GESTIÓN EDUCATIVA LOCAL 03 - TRUJILLO NOR OESTE (UGEL 03 - TNO)	3083
-1	Poder Ejecutivo	DEFENSA	161	SERVICIOS INDUSTRIALES DE LA MARINA S.A. (SIMA-PERÚ S.A.)	2720
-1	Poder Ejecutivo	MUJER Y POBLACIONES VULNERABLES	109	PROGRAMA INTEGRAL NACIONAL PARA EL BIENESTAR FAMILIAR (INABIF)	2699
-1	Poder Ejecutivo	PRESIDENCIA DEL CONSEJO DE MINISTROS	4	INSTITUTO NACIONAL DE ESTADÍSTICA E INFORMÁTICA (INEI)	2674
-1	Poder Ejecutivo	SALUD	13181	INSTITUTO NACIONAL MATERNO PERINATAL (INMP)	2662
7	Gobiernos regionales		13647	UNIDAD EJECUTORA 303 - EDUCACION ALTOPIURA (UE303)	2565
-1	Poder Ejecutivo	CULTURA	77	MINISTERIO DE CULTURA (CULTURA)	2432
5	Gobiernos locales		739	MUNICIPALIDAD PROVINCIAL DE CAJAMARCA (MPC)	2377
-1	Poder Ejecutivo	SALUD	12884	HOSPITAL MARÍA AUXILIADORA (HMA)	2370
-1	Poder Ejecutivo	AMBIENTE	87	SERVICIO NACIONAL DE METEOROLOGÍA E HIDROLOGÍA DEL PERÚ (SENAMHI)	2365
5	Gobiernos locales		10080	MUNICIPALIDAD DISTRITAL DE SAN ISIDRO LIMA (MDSI)	2237
-1	Poder Ejecutivo	AGRICULTURA	91	SERVICIO NACIONAL DE SANIDAD AGRARIA DEL PERÚ (SENASA)	2191
-1	Poder Ejecutivo	SALUD	13800	HOSPITAL SANTA ROSA (HSR)	2183
-1	Poder Ejecutivo	SALUD	13693	HOSPITAL NACIONAL HIPOLITO UNANUE (HNHU)	2181
-1	Poder Ejecutivo	DESARROLLO E INCLUSIÓN SOCIAL	13117	PROGRAMA NACIONAL DE APOYO DIRECTO A LOS MÁS POBRES - JUNTOS (JUNTOS)	2175
-1	Poder Ejecutivo	DESARROLLO E INCLUSIÓN SOCIAL	13274	PROGRAMA NACIONAL CUNA MÁS (PNCM)	2139
-1	Poder Ejecutivo	RELACIONES EXTERIORES	140	MINISTERIO DE RELACIONES EXTERIORES (RREE)	2117
5	Gobiernos locales		11144	MUNICIPALIDAD PROVINCIAL DEL SANTA (MPS - CHIMBOTE)	2116
5	Gobiernos locales		10083	MUNICIPALIDAD DISTRITAL DE SAN JUAN DE MIRAFLORES - LIMA (SJM)	2028
4	Organismos autónomos		10411	UNIVERSIDAD NACIONAL HERMILIO VALDIZAN (UNHEVAL)	2028
5	Gobiernos locales		1396	MUNICIPALIDAD PROVINCIAL DE CHICLAYO (MPCHICLAYO)	1978
5	Gobiernos locales		10069	MUNICIPALIDAD DISTRITAL DE MIRAFLORES - LIMA (MDMIRAFLORES)	1970
-1	Poder Ejecutivo	DESARROLLO E INCLUSIÓN SOCIAL	14219	PROGRAMA NACIONAL DE ALIMENTACIÓN ESCOLAR QALI WARMA (PNAE - QALI WARMA)	1883
-1	Poder Ejecutivo	EDUCACIÓN	14239	UNIDAD DE GESTIÓN EDUCATIVA LOCAL N.º 05 (UGEL 05)	1833
-1	Poder Ejecutivo	TRANSPORTES Y COMUNICACIONES	14069	SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS (SUTRAN)	1779
-1	Poder Ejecutivo	EDUCACIÓN	13956	UNIDAD DE GESTIÓN EDUCATIVA LOCAL Nº 06 (UGEL 06)	1777
-1	Poder Ejecutivo	TRANSPORTES Y COMUNICACIONES	144	MINISTERIO DE TRANSPORTES Y COMUNICACIONES (MTC)	1658
-1	Poder Ejecutivo	SALUD	13965	HOSPITAL DE EMERGENCIAS JOSÉ CASIMIRO ULLOA (HEJCU)	1649
-1	Poder Ejecutivo	SALUD	18765	HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR (HEVES)	1640
5	Gobiernos locales		1710	MUNICIPALIDAD PROVINCIAL DE PIURA (MPPIURA)	1637
5	Gobiernos locales		11154	MUNICIPALIDAD DISTRITAL DE NUEVO CHIMBOTE (MD - NVOCHIMBOTE)	1632
5	Gobiernos locales		11749	MUNICIPALIDAD DISTRITAL DE ILABAYA (M.D.I.)	1624
-1	Poder Ejecutivo	PRODUCCIÓN	139	MINISTERIO DE LA PRODUCCIÓN (PRODUCE)	1538
-1	Poder Ejecutivo	TRABAJO Y PROMOCIÓN DEL EMPLEO	14274	SUPERINTENDENCIA NACIONAL DE FISCALIZACION LABORAL (SUNAFIL)	1531
2	Poder Judicial		18798	CORTE SUPERIOR DE JUSTICIA DE LIMA ESTE (CSJLE)	1530
-1	Poder Ejecutivo	SALUD	10032	INSTITUTO NACIONAL DE SALUD (INS)	1520
-1	Poder Ejecutivo	SALUD	10025	INSTITUTO NACIONAL DE SALUD MENTAL "HONORIO DELGADO - HIDEYO NOGUCHI" (INSM "HD-HN")	1512
7	Gobiernos regionales		10152	GOBIERNO REGIONAL DE LORETO (GOREL)	1491
7	Gobiernos regionales		13895	DIRECCIÓN REGIONAL DE COMERCIO EXTERIOR Y TURISMO DEL CUSCO (DIRCETUR-CUSCO)	1481
7	Gobiernos regionales		18605	DIRECCIÓN REGIONAL DE LA PRODUCCION (DIREPRO CUSCO)	1481
7	Gobiernos regionales		14198	GERENCIA REGIONAL DE TRABAJO Y PROMOCIÓN DEL EMPLEO - CUSCO (GRTPE-CUSCO)	1481
7	Gobiernos regionales		10139	GOBIERNO REGIONAL CUSCO (GRCUSCO)	1481
-1	Poder Ejecutivo	TRABAJO Y PROMOCIÓN DEL EMPLEO	141	MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO (MTPE)	1464
-1	Poder Ejecutivo	TRANSPORTES Y COMUNICACIONES	10028	CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A. (CORPAC S.A.)	1455
-1	Poder Ejecutivo	INTERIOR	12678	SUPERINTENDENCIA NACIONAL DE MIGRACIONES (MIGRACIONES)	1429
-1	Poder Ejecutivo	ECONOMÍA Y FINANZAS	82	OFICINA DE NORMALIZACIÓN PREVISIONAL (ONP)	1419
5	Gobiernos locales		10062	MUNICIPALIDAD DISTRITAL DE LA MOLINA (MUNIMOLINA)	1381
2	Poder Judicial		10208	CORTE SUPERIOR DE JUSTICIA DE LIMA NORTE (CSJLN)	1367
-1	Poder Ejecutivo	AGRICULTURA	13705	AUTORIDAD NACIONAL DEL AGUA (ANA)	1350
4	Organismos autónomos		10434	UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE (UNE)	1348
-1	Poder Ejecutivo	MUJER Y POBLACIONES VULNERABLES	142	MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES (MIMP)	1321
-1	Poder Ejecutivo	PRESIDENCIA DEL CONSEJO DE MINISTROS	10006	INSTITUTO NACIONAL DE DEFENSA DE LA COMPETENCIA Y DE LA  PROTECCIÓN DE LA PROPIEDAD INTELECTUAL (INDECOPI)	1309
4	Organismos autónomos		10437	UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ (UNCP)	1299
-1	Poder Ejecutivo	AMBIENTE	13912	SERVICIO NACIONAL DE ÁREAS NATURALES PROTEGIDAS POR EL ESTADO (SERNANP)	1296
5	Gobiernos locales		1957	MUNICIPALIDAD PROVINCIAL DE TACNA (MPTACNA)	1283
-1	Poder Ejecutivo	COMERCIO EXTERIOR Y TURISMO	138	MINISTERIO DE COMERCIO EXTERIOR  Y TURISMO (MINCETUR)	1276
7	Gobiernos regionales		14182	DIRECCIÓN SUB REGIONAL DE SALUD MORROPÓN-HUANCABAMBA (DSRSMH)	1245
4	Organismos autónomos		10045	UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN (UNJFSC)	1209
4	Organismos autónomos		10449	UNIVERSIDAD NACIONAL DEL ALTIPLANO (UNAP)	1163
7	Gobiernos regionales		10131	GOBIERNO REGIONAL DE AREQUIPA (GRA)	1145
5	Gobiernos locales		22864	EMPRESA DE SERVICIO DE LIMPIEZA MUNICIPAL PUBLICA DEL CALLAO (ESLIMP CALLAO S.A)	1119
5	Gobiernos locales		11859	MUNICIPALIDAD PROVINCIAL DE AREQUIPA (MPA)	1107
-1	Poder Ejecutivo	ENERGÍA Y MINAS	137	MINISTERIO DE ENERGÍA Y MINAS (MINEM)	1097
-1	Poder Ejecutivo	SALUD	18632	HOSPITAL REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA JAMO II-2 (HOSPITAL "JAMO" II-2)	1062
-1	Poder Ejecutivo	VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO	11476	MINISTERIO DE VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO (VIVIENDA)	1028
7	Gobiernos regionales		10149	GOBIERNO REGIONAL DE LA LIBERTAD (GRLL)	1009
5	Gobiernos locales		866	MUNICIPALIDAD PROVINCIAL DEL CALLAO (MPCALLAO)	1004
-1	Poder Ejecutivo	TRANSPORTES Y COMUNICACIONES	18830	AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO (ATU)	983
2	Poder Judicial		10209	CORTE SUPERIOR DE CUSCO (D.J. CUSCO)	983
7	Gobiernos regionales		18699	UNIDAD EJECUTORA Nº 402 SALUD HUALLAGA CENTRAL (U.E.402SHC)	980
5	Gobiernos locales		10118	MUNICIPALIDAD DISTRITAL DE SURQUILLO (MDS)	977
-1	Poder Ejecutivo	CULTURA	14063	UNIDAD EJECUTORA 003 - ZONA ARQUEOLÓGICA CARAL/MC (UE003-ZAC/MC)	977
5	Gobiernos locales		10065	MUNICIPALIDAD DISTRITAL DE LURIGANCHO (MDLCH)	976
-1	Poder Ejecutivo	DEFENSA	10011	MINISTERIO DE DEFENSA (MINDEF)	948
5	Gobiernos locales		10063	MUNICIPALIDAD DISTRITAL DE LA VICTORIA - LIMA (MLV)	916
-1	Poder Ejecutivo	VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO	10009	ORGANISMO DE FORMALIZACIÓN DE LA PROPIEDAD INFORMAL (COFOPRI)	907
5	Gobiernos locales		10947	MUNICIPALIDAD DISTRITAL DE SAN SEBASTIÁN (MD - SSEBASTIAN)	899
-1	Poder Ejecutivo	AGRICULTURA	92	INSTITUTO NACIONAL DE INNOVACIÓN AGRARIA (INIA)	890
5	Gobiernos locales		10061	MUNICIPALIDAD DISTRITAL DE JESÚS MARÍA (MDJM)	881
5	Gobiernos locales		12176	MUNICIPALIDAD PROVINCIAL DE SULLANA (MP-SULLANA)	873
5	Gobiernos locales		1073	MUNICIPALIDAD PROVINCIAL DE HUÁNUCO (MPHCO)	871
2	Poder Judicial		10215	CORTE SUPERIOR DE JUSTICIA DE JUNIN (CSJJ)	867
-1	Poder Ejecutivo	PRESIDENCIA DEL CONSEJO DE MINISTROS	145	PRESIDENCIA DEL CONSEJO DE MINISTROS (PCM)	864
2	Poder Judicial		10206	CORTE SUPERIOR DE JUSTICIA DEL CALLAO (CSJCL)	862
5	Gobiernos locales		10036	MUNICIPALIDAD DISTRITAL DE LINCE (MDL)	860
5	Gobiernos locales		10058	MUNICIPALIDAD DISTRITAL DE COMAS - LIMA (MD-COMAS)	858
4	Organismos autónomos		10403	UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO (UNASAM)	833
5	Gobiernos locales		1995	MUNICIPALIDAD PROVINCIAL DE CORONEL PORTILLO (MUNICPORTILLO)	828
-1	Poder Ejecutivo	SALUD	14042	HOSPITAL HERMILIO VALDIZAN (HHV)	826
-1	Poder Ejecutivo	DESARROLLO E INCLUSIÓN SOCIAL	14145	MINISTERIO DE DESARROLLO E INCLUSIÓN SOCIAL (MIDIS)	820
-1	Poder Ejecutivo	AMBIENTE	13855	ORGANISMO DE EVALUACIÓN Y FISCALIZACIÓN AMBIENTAL (OEFA)	813
-1	Poder Ejecutivo	PRESIDENCIA DEL CONSEJO DE MINISTROS	5	ORGANISMO SUPERVISOR DE LA INVERSIÓN EN ENERGÍA Y MINERÍA (OSINERGMIN)	796
2	Poder Judicial		10214	CORTE SUPERIOR DE JUSTICIA DE ICA (CSJI)	788
-1	Poder Ejecutivo	CULTURA	10010	INSTITUTO NACIONAL DE RADIO Y TELEVISIÓN DEL PERÚ (IRTP)	769
5	Gobiernos locales		12962	SERVICIOS DE PARQUES DE LIMA (SERPAR LIMA)	768
5	Gobiernos locales		13134	SERVICIO DE ADMINISTRACIÓN TRIBUTARIA (SAT)	760
5	Gobiernos locales		11868	MUNICIPALIDAD PROVINCIAL DE HUAMANGA (MP-HUAMANGA)	758
-1	Poder Ejecutivo	ENERGÍA Y MINAS	13041	EMPRESA DE SERVICIO PÚBLICO DE ELECTRICIDAD ELECTRO NORTE MEDIO S.A - HIDRANDINA (HIDRANDINA)	754
-1	Poder Ejecutivo	SALUD	13004	SEGURO INTEGRAL DE SALUD (SIS)	753
-1	Poder Ejecutivo	AGRICULTURA	13860	PROGRAMA DE DESARROLLO PRODUCTIVO AGRARIO RURAL (AGRO RURAL)	748
-1	Poder Ejecutivo	JUSTICIA	18835	PROGRAMA NACIONAL DE CENTROS JUVENILES (PRONACEJ)	727
7	Gobiernos regionales		13767	DIRECCIÓN REGIONAL DE EDUCACIÓN CUSCO (DREC)	710
5	Gobiernos locales		11892	MUNICIPALIDAD PROVINCIAL DE URUBAMBA (MP-URUBAMBA)	707
-1	Poder Ejecutivo	SALUD	13182	INSTITUTO NACIONAL DE REHABILITACIÓN (INR)	703
2	Poder Judicial		10205	CORTE SUPERIOR DE JUSTICIA DE CAJAMARCA (D.J. CAJAMARCA)	702
7	Gobiernos regionales		14003	DIRECCIÓN REGIONAL DE SALUD TACNA (DIRESA TACNA)	697
7	Gobiernos regionales		13644	ARCHIVO REGIONAL DE PIURA (ARP)	691
-1	Poder Ejecutivo	DESARROLLO E INCLUSIÓN SOCIAL	14183	PROGRAMA NACIONAL DE ASISTENCIA SOLIDARIA PENSIÓN 65 (PENSION 65)	691
7	Gobiernos regionales		14001	ACTIVIDAD PIMA GOBIERNO REGIONAL PIURA (ACTIVIDAD PIMA)	689
7	Gobiernos regionales		10161	GOBIERNO REGIONAL DE PIURA (GR-PIURA)	689
5	Gobiernos locales		11314	MUNICIPALIDAD DISTRITAL DE LA ESPERANZA (MDE)	679
-1	Poder Ejecutivo	AGRICULTURA	14282	SERVICIO NACIONAL FORESTAL Y DE FAUNA SILVESTRE (SERFOR)	673
2	Poder Judicial		10229	CORTE SUPERIOR DE JUSTICIA DE PUNO (CSJ PUNO)	659
5	Gobiernos locales		10054	MUNICIPALIDAD DISTRITAL DE CARABAYLLO (MD-CARABAYLLO)	651
4	Organismos autónomos		10409	UNIVERSIDAD NACIONAL DE SAN MARTÍ­N - TARAPOTO (UNSM-T)	651
2	Poder Judicial		10210	CORTE SUPERIOR DE JUSTICIA DEL SANTA (D.J. SANTA)	647
4	Organismos autónomos		23	DEFENSORÍA DEL PUEBLO (DP)	642
-1	Poder Ejecutivo	PRESIDENCIA DEL CONSEJO DE MINISTROS	8	SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO (SUNASS)	636
5	Gobiernos locales		10230	MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE - LIMA (MD-PUEBLO LIBRE)	635
2	Poder Judicial		10212	CORTE SUPERIOR DE JUSTICIA DE HUÁNUCO (CSJH)	635
5	Gobiernos locales		10060	MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA - LIMA (MDI)	634
7	Gobiernos regionales		18796	DIRECCIÓN REGIONAL SECTORIAL DE TRABAJO Y PROMOCIÓN DEL EMPLEO DE APURÍMAC (DRTPE-APURÍMAC)	633
7	Gobiernos regionales		10130	GOBIERNO REGIONAL DE APURIMAC (GR-APURIMAC)	633
-1	Poder Ejecutivo	PRODUCCIÓN	104	INSTITUTO TECNOLÓGICO DE LA PRODUCCIÓN (ITP)	618
5	Gobiernos locales		10506	MUNICIPALIDAD DISTRITAL DE JOSÉ LUIS BUSTAMANTE Y RIVERO (MD - JLBYR)	617
-1	Poder Ejecutivo	PRODUCCIÓN	103	INSTITUTO DEL MAR DEL PERÚ (IMARPE)	614
7	Gobiernos regionales		10146	GOBIERNO REGIONAL DE HUÁNUCO (GOREHCO)	603
-1	Poder Ejecutivo	ECONOMÍA Y FINANZAS	10	ORGANISMO SUPERVISOR DE LAS CONTRATACIONES DEL ESTADO (OSCE)	600
-1	Poder Ejecutivo	AMBIENTE	127	MINISTERIO DEL AMBIENTE (MINAM)	596
7	Gobiernos regionales		10148	GOBIERNO REGIONAL  JUNÍN (GRJ)	594
5	Gobiernos locales		18596	MUNICIPALIDAD DISTRITAL DE MI PERÚ (MDMP)	593
-1	Poder Ejecutivo	SALUD	13290	HOSPITAL SAN JOSE DEL CALLAO (HOSPITAL SAN JOSE)	586
-1	Poder Ejecutivo	EDUCACIÓN	14293	PROGRAMA NACIONAL DE INFRAESTRUCTURA EDUCATIVA (PRONIED)	585
5	Gobiernos locales		13720	SISTEMA METROPOLITANO DE LA SOLIDARIDAD (SISOL)	578
5	Gobiernos locales		13173	EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO CAÑETE S.A (EMAP)	576
4	Organismos autónomos		18850	EMPRESA PRESTADORA DE SERVICIOS DE SANEAMIENTO MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO (EPSEMAPA)	570
7	Gobiernos regionales		18839	HOSPITAL II SANTA ROSA DE PUERTO MALDONADO (HOSPITALII)	569
-1	Poder Ejecutivo	DESARROLLO E INCLUSIÓN SOCIAL	175	FONDO DE COOPERACIÓN PARA EL DESARROLLO SOCIAL (FONCODES)	566
5	Gobiernos locales		14049	SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO DE LA LIBERTAD S.A. (SEDALIB.S.A.)	561
7	Gobiernos regionales		10142	GOBIERNO REGIONAL DE HUANCAVELICA (GR-HUANCAVELICA)	556
5	Gobiernos locales		10618	MUNICIPALIDAD DISTRITAL DE CHANCAY  - LIMA (MD - CHANCAY)	554
5	Gobiernos locales		10480	MUNICIPALIDAD DISTRITAL DE CAYMA (MDC)	545
7	Gobiernos regionales		180	GOBIERNO REGIONAL DEL CALLAO (GR-CALLAO)	520
2	Poder Judicial		10213	CORTE SUPERIOR DE HUAURA (D.J. HUAURA)	515
7	Gobiernos regionales		10137	GOBIERNO REGIONAL CAJAMARCA (GRC)	509
-1	Poder Ejecutivo	SALUD	13804	INSTITUTO NACIONAL DE OFTALMOLOGÍA (INO)	508
7	Gobiernos regionales		13660	INSTITUTO REGIONAL DE ENFERMEDADES NEOPLASICAS (IREN NORTE)	501
5	Gobiernos locales		10484	MUNICIPALIDAD DISTRITAL  JACOBO HUNTER - AREQUIPA (MDJH)	490
-1	Poder Ejecutivo	EDUCACIÓN	14318	SUPERINTENDENCIA NACIONAL DE EDUCACION SUPERIOR UNIVERSITARIA (SUNEDU)	486
5	Gobiernos locales		12178	MUNICIPALIDAD PROVINCIAL DE TALARA (MP-TALARA)	480
-1	Poder Ejecutivo	DESARROLLO E INCLUSIÓN SOCIAL	18727	PROGRAMA NACIONAL PLATAFORMAS DE ACCIÓN PARA LA INCLUSIÓN SOCIAL (PNPAIS)	480
-1	Poder Ejecutivo	PRESIDENCIA DEL CONSEJO DE MINISTROS	11793	COMISIÓN NACIONAL PARA EL DESARROLLO Y VIDA SIN DROGAS (DEVIDA)	466
-1	Poder Ejecutivo	DEFENSA	128	INSTITUTO NACIONAL DE DEFENSA CIVIL (INDECI)	462
-1	Poder Ejecutivo	EDUCACIÓN	14184	PROGRAMA NACIONAL DE BECAS Y CRÉDITO EDUCATIVO (PRONABEC)	454
7	Gobiernos regionales		10129	GOBIERNO REGIONAL DE ANCASH (GRA)	447
-1	Poder Ejecutivo	PRESIDENCIA DEL CONSEJO DE MINISTROS	13687	AUTORIDAD NACIONAL DEL SERVICIO CIVIL (SERVIR)	445
-1	Poder Ejecutivo	COMERCIO EXTERIOR Y TURISMO	10003	COMISIÓN DE PROMOCIÓN DEL PERÚ PARA LA EXPORTACIÓN Y EL TURISMO (PROMPERÚ)	442
-1	Poder Ejecutivo	ENERGÍA Y MINAS	94	INSTITUTO GEOLÓGICO MINERO Y METALÚRGICO (INGEMMET)	441
-1	Poder Ejecutivo	SALUD	75	SUPERINTENDENCIA NACIONAL DE SALUD (SUSALUD)	439
5	Gobiernos locales		10503	MUNICIPALIDAD DISTRITAL DE YANAHUARA (MD-YANAHUARA)	437
5	Gobiernos locales		13310	SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DEL SANTA, CASMA Y HUARMEY (SEDACHIMBOTE S.A.)	436
5	Gobiernos locales		10122	MUNICIPALIDAD DISTRITAL DE VILLA EL SALVADOR (MUNIVES)	432
5	Gobiernos locales		10052	MUNICIPALIDAD DISTRITAL DE BARRANCO (MD-BARRANCO)	432
-1	Poder Ejecutivo	PRESIDENCIA DEL CONSEJO DE MINISTROS	18739	AUTORIDAD PARA LA RECONSTRUCCIÓN CON CAMBIOS (ARCC)	430
5	Gobiernos locales		11851	MUNICIPALIDAD PROVINCIAL DE ABANCAY (MP - ABANCAY)	428
-1	Poder Ejecutivo	PRESIDENCIA DEL CONSEJO DE MINISTROS	7	ORGANISMO SUPERVISOR DE INVERSIÓN PRIVADA EN TELECOMUNICACIONES (OSIPTEL)	428
5	Gobiernos locales		10479	MUNICIPALIDAD DISTRITAL DE ALTO SELVA ALEGRE (MDASA)	425
-1	Poder Ejecutivo	ENERGÍA Y MINAS	13047	EMPRESA REGIONAL DE SERVICIO PÚBLICO DE ELECTRICIDAD DEL NORTE S.A (ELECTRONORTE S.A.)	421
-1	Poder Ejecutivo	CULTURA	185	BIBLIOTECA NACIONAL DEL PERÚ (BNP)	419
-1	Poder Ejecutivo	ENERGÍA Y MINAS	13032	EMPRESA REGIONAL DE SERVICIO PÚBLICO DE ELECTRICIDAD DEL ORIENTE S.A. (ELECTRO ORIENTE)	415
5	Gobiernos locales		10614	MUNICIPALIDAD PROVINCIAL DE HUARAL (MP-HUARAL)	410
4	Organismos autónomos		13625	UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURÍMAC. (UNAMBA)	406
5	Gobiernos locales		11866	MUNICIPALIDAD PROVINCIAL DE ISLAY (MPI)	402
-1	Poder Ejecutivo	ENERGÍA Y MINAS	13049	EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD DEL CENTRO S.A. (ELECTROCENTRO)	393
5	Gobiernos locales		11056	MUNICIPALIDAD DISTRITAL DE OLLANTAYTAMBO	385
-1	Poder Ejecutivo	TRANSPORTES Y COMUNICACIONES	10020	PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE DESCENTRALIZADO (PROVIAS DESCENTRALIZ)	380
-1	Poder Ejecutivo	VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO	124	SERVICIO NACIONAL DE CAPACITACIÓN PARA LA INDUSTRIA DE LA CONSTRUCCIÓN (SENCICO)	379
5	Gobiernos locales		12116	MUNICIPALIDAD PROVINCIAL DE BARRANCA (MPB)	377
5	Gobiernos locales		12175	MUNICIPALIDAD PROVINCIAL DE PAITA (MP-PAITA)	373
4	Organismos autónomos		5022	OFICINA NACIONAL DE PROCESOS ELECTORALES (ONPE)	371
7	Gobiernos regionales		12866	PROYECTO ESPECIAL CHAVIMOCHIC (PECH)	370
7	Gobiernos regionales		10157	GOBIERNO REGIONAL PASCO (GOREPA)	369
-1	Poder Ejecutivo	ENERGÍA Y MINAS	13039	SOCIEDAD ELÉCTRICA DEL SUR OESTE S.A. (SEAL)	366
5	Gobiernos locales		12140	MUNICIPALIDAD PROVINCIAL DE ILO (MPI-ILO)	362
-1	Poder Ejecutivo	VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO	178	SUPERINTENDENCIA NACIONAL DE BIENES ESTATALES (SBN)	356
4	Organismos autónomos		16379	INSTITUTO PEDAGÓGICO NACIONAL MONTERRICO (IPNM)	354
